"","pixel","bs_sic_x10","lon","lat","sicDate","x","y"
"1",1,0,-173.05576386,62.26233287,"20220101",-2411473.49214075,1887832.07778017
"2",2,0,-173.33655426,62.42821497,"20220101",-2387276.81855827,1887831.88592911
"3",3,0,-172.67357453,62.40051872,"20220101",-2411473.28765688,1862022.41413149
"4",4,0,-172.9293529,62.57602444,"20220101",-2387276.60372308,1860409.10948969
"5",5,318,-172.3087748,62.53892242,"20220101",-2410666.53116729,1837019.28420536
"6",6,179,-172.59435311,62.72215112,"20220101",-2384856.75697129,1836212.53598877
"7",7,0,-172.8825669,62.86960264,"20220101",-2362273.2266533,1837825.46139676
"8",8,0,-173.28950402,62.74155685,"20220101",-2360660.30422343,1863635.10199659
"9",9,0,-173.64949576,62.61006956,"20220101",-2360660.49126403,1887831.6767689
"10",10,0,-174.05315813,62.45989067,"20220101",-2360660.70709449,1915254.47383621
"11",11,0,-173.73223588,62.30883546,"20220101",-2384857.35645813,1912834.99988579
"12",12,0,-173.39871039,62.13615455,"20220101",-2411473.67853153,1911222.11307978
"13",13,0,-173.10043038,61.95538139,"20220101",-2437718.94307876,1911445.37777676
"14",14,0,-172.74200852,62.09614904,"20220101",-2436850.54348647,1886267.69227442
"15",15,321,-172.37301955,62.21931067,"20220101",-2437718.54562213,1861958.28583285
"16",16,321,-172.01043703,62.34746359,"20220101",-2437718.35458089,1837648.8452323
"17",1,0,-173.05576386,62.26233287,"20220102",-2411473.49214075,1887832.07778017
"21",2,0,-173.33655426,62.42821497,"20220102",-2387276.81855827,1887831.88592911
"31",3,272,-172.67357453,62.40051872,"20220102",-2411473.28765688,1862022.41413149
"41",4,0,-172.9293529,62.57602444,"20220102",-2387276.60372308,1860409.10948969
"51",5,531,-172.3087748,62.53892242,"20220102",-2410666.53116729,1837019.28420536
"61",6,413,-172.59435311,62.72215112,"20220102",-2384856.75697129,1836212.53598877
"71",7,0,-172.8825669,62.86960264,"20220102",-2362273.2266533,1837825.46139676
"81",8,0,-173.28950402,62.74155685,"20220102",-2360660.30422343,1863635.10199659
"91",9,0,-173.64949576,62.61006956,"20220102",-2360660.49126403,1887831.6767689
"101",10,0,-174.05315813,62.45989067,"20220102",-2360660.70709449,1915254.47383621
"111",11,0,-173.73223588,62.30883546,"20220102",-2384857.35645813,1912834.99988579
"121",12,0,-173.39871039,62.13615455,"20220102",-2411473.67853153,1911222.11307978
"131",13,0,-173.10043038,61.95538139,"20220102",-2437718.94307876,1911445.37777676
"141",14,0,-172.74200852,62.09614904,"20220102",-2436850.54348647,1886267.69227442
"151",15,470,-172.37301955,62.21931067,"20220102",-2437718.54562213,1861958.28583285
"161",16,470,-172.01043703,62.34746359,"20220102",-2437718.35458089,1837648.8452323
"18",1,0,-173.05576386,62.26233287,"20220103",-2411473.49214075,1887832.07778017
"22",2,0,-173.33655426,62.42821497,"20220103",-2387276.81855827,1887831.88592911
"32",3,217,-172.67357453,62.40051872,"20220103",-2411473.28765688,1862022.41413149
"42",4,0,-172.9293529,62.57602444,"20220103",-2387276.60372308,1860409.10948969
"52",5,457,-172.3087748,62.53892242,"20220103",-2410666.53116729,1837019.28420536
"62",6,244,-172.59435311,62.72215112,"20220103",-2384856.75697129,1836212.53598877
"72",7,0,-172.8825669,62.86960264,"20220103",-2362273.2266533,1837825.46139676
"82",8,0,-173.28950402,62.74155685,"20220103",-2360660.30422343,1863635.10199659
"92",9,0,-173.64949576,62.61006956,"20220103",-2360660.49126403,1887831.6767689
"102",10,0,-174.05315813,62.45989067,"20220103",-2360660.70709449,1915254.47383621
"112",11,0,-173.73223588,62.30883546,"20220103",-2384857.35645813,1912834.99988579
"122",12,0,-173.39871039,62.13615455,"20220103",-2411473.67853153,1911222.11307978
"132",13,0,-173.10043038,61.95538139,"20220103",-2437718.94307876,1911445.37777676
"142",14,0,-172.74200852,62.09614904,"20220103",-2436850.54348647,1886267.69227442
"152",15,394,-172.37301955,62.21931067,"20220103",-2437718.54562213,1861958.28583285
"162",16,394,-172.01043703,62.34746359,"20220103",-2437718.35458089,1837648.8452323
"19",1,0,-173.05576386,62.26233287,"20220104",-2411473.49214075,1887832.07778017
"23",2,0,-173.33655426,62.42821497,"20220104",-2387276.81855827,1887831.88592911
"33",3,315,-172.67357453,62.40051872,"20220104",-2411473.28765688,1862022.41413149
"43",4,0,-172.9293529,62.57602444,"20220104",-2387276.60372308,1860409.10948969
