"","year","extr_Hi","extreme_lo$extr_Lo","sub.ice_index$ice_index","ave_ice$ice_ave","spring_hi$spring_Hi","spring_lo$spring_Lo"
"1",1979,41,25,190.699194607421,64.9120879120879,5,0
"2",1980,31,21,75.7020743596956,70.0222222222222,8,0
"3",1981,31,19,45.5172403205487,67.5054945054945,8,0
"4",1982,21,25,19.0683229820877,60.5111111111111,2,0
"5",1983,17,41,22.9856334976356,49.4395604395604,5,0
"6",1984,17,47,29.1494367230219,39.967032967033,12,0
"7",1985,19,33,49.5509212100756,54.8111111111111,1,0
"8",1986,24,47,48.5537139775719,48.3490566037736,8,0
"9",1987,58,30,161.584105330142,69.1928571428571,5,0
"10",1988,56,49,138.412215028086,58.707182320442,6,8
"11",1989,77,53,323.152889163331,65.4088397790055,9,0
"12",1990,77,47,300.33199147447,65.7348066298343,17,0
"13",1991,70,54,177.797880196573,64.543956043956,26,0
"14",1992,60,40,165.187547100606,68.7016574585635,7,4
"15",1993,61,50,141.538576756872,64.7403314917127,9,0
"16",1994,89,37,293.676420486324,73.0386740331492,8,0
"17",1995,62,55,201.611950184324,59.4285714285714,6,2
"18",1996,56,65,129.789726729737,54.8232044198895,13,1
"19",1997,80,48,230.039107857369,69.060773480663,14,0
"20",1998,79,58,231.785570827903,61.9171270718232,19,0
"21",1999,88,30,225.50243737221,77.0549450549451,11,0
"22",2000,12,112,28.57102837442,24.646408839779,12,2
"23",2001,73,45,197.823806793838,69.3977900552486,18,0
"24",2002,47,78,133.273789160975,49.5966850828729,9,4
"25",2003,48,74,141.751444456428,48.3901098901099,3,0
"26",2004,38,65,72.0112792152632,51.9668508287293,13,4
"27",2005,96,34,379.305610652301,76.4033149171271,13,0
"28",2006,66,54,177.337781616626,63.9889502762431,10,0
"29",2007,75,54,211.794858144304,65.6208791208791,27,0
"30",2008,86,52,255.399691530362,67.2651933701657,27,0
"31",2009,96,44,341.291429053131,69.0773480662983,29,0
"32",2010,73,63,197.118058727158,59.6298342541436,21,3
"33",2011,78,46,214.21142167528,70.8076923076923,24,0
"34",2012,85,46,233.527512072635,69.2541436464088,22,0
"35",2013,48,64,109.282976992103,54.0939226519337,8,9
"36",2014,22,98,40.7078795509082,34.3867403314917,7,4
"37",2015,19,91,24.2737023529764,39.6923076923077,5,12
"38",2016,31,104,87.4033674273045,33.3038674033149,2,9
"39",2017,0,169,0,2.41436464088398,0,30
"40",2018,3,149,1.38629436111989,15.8797169811321,0,25
